jahr,gesamt,unter 20,20 bis 40,40 bis 60,60 bis 80,80 bis 100,100 und mehr,unter 18 Jahre,18 Jahre und mehr
2020,83+AKA-155+AKA-031,15+AKA-334+AKA-574,20+AKA-355+AKA-394,23+AKA-375+AKA-290,18+AKA-153+AKA-339,5+AKA-915+AKA-969,20+AKA-465,13+AKA-743+AKA-944,69+AKA-411+AKA-087
2019,83+AKA-166+AKA-711,15+AKA-330+AKA-502,20+AKA-467+AKA-832,23+AKA-629+AKA-924,18+AKA-057+AKA-318,5+AKA-664+AKA-193,16+AKA-942,13+AKA-677+AKA-902,69+AKA-488+AKA-809
2018,83+AKA-019+AKA-213,15+AKA-294+AKA-292,20+AKA-447+AKA-052,23+AKA-900+AKA-423,17+AKA-988+AKA-340,5+AKA-375+AKA-137,13+AKA-969,13+AKA-597+AKA-428,69+AKA-421+AKA-785
2017,82+AKA-792+AKA-351,15+AKA-252+AKA-326,20+AKA-354+AKA-056,24+AKA-101+AKA-205,17+AKA-934+AKA-079,5+AKA-136+AKA-491,14+AKA-194,13+AKA-538+AKA-146,69+AKA-254+AKA-205
2016,82+AKA-521+AKA-653,15+AKA-221+AKA-437,20+AKA-219+AKA-900,24+AKA-289+AKA-331,17+AKA-849+AKA-075,4+AKA-926+AKA-701,15+AKA-209,13+AKA-470+AKA-262,69+AKA-051+AKA-391
2015,82+AKA-175+AKA-684,15+AKA-071+AKA-090,20+AKA-095+AKA-163,24+AKA-507+AKA-197,17+AKA-773+AKA-031,4+AKA-712+AKA-704,16+AKA-499,13+AKA-325+AKA-677,68+AKA-850+AKA-007
2014,81+AKA-197+AKA-537,14+AKA-753+AKA-511,19+AKA-585+AKA-851,24+AKA-616+AKA-487,17+AKA-697+AKA-390,4+AKA-526+AKA-824,17+AKA-474,13+AKA-112+AKA-020,68+AKA-085+AKA-517
2013,80+AKA-767+AKA-463,14+AKA-682+AKA-929,19+AKA-373+AKA-531,24+AKA-763+AKA-243,17+AKA-581+AKA-400,4+AKA-350+AKA-053,16+AKA-307,13+AKA-075+AKA-529,67+AKA-691+AKA-934
2012,80+AKA-523+AKA-746,14+AKA-721+AKA-008,19+AKA-205+AKA-702,24+AKA-892+AKA-277,17+AKA-379+AKA-040,4+AKA-310+AKA-313,15+AKA-406,13+AKA-090+AKA-887,67+AKA-432+AKA-859
2011,80+AKA-327+AKA-900,14+AKA-800+AKA-952,19+AKA-136+AKA-884,24+AKA-955+AKA-062,17+AKA-165+AKA-830,4+AKA-254+AKA-736,14+AKA-436,13+AKA-142+AKA-952,67+AKA-184+AKA-948
