,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Sterbefälle nach Monaten und Altersgruppen 2000 bis 2015 in Deutschland,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Insgesamt,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Lfd.,Jahr,Alter von ... bis,Monate,,,,,,,,,,,,Insgesamt
Nr.,,unter … Jahren,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,
1,2015,Insgesamt , 86 585 , 89 912 , 90 726 , 76 824 , 73 543 , 69 484 , 75 689 , 71 755 , 67 818 , 74 854 , 72 144 , 75 866 , 925 200 
2,2015,0-15 ,  308 ,  293 ,  299 ,  300 ,  276 ,  303 ,  254 ,  285 ,  253 ,  291 ,  272 ,  308 , 3 442 
3,2015,15-30 ,  353 ,  361 ,  427 ,  369 ,  390 ,  384 ,  424 ,  413 ,  353 ,  395 ,  373 ,  347 , 4 589 
4,2015,30-35 ,  235 ,  227 ,  231 ,  247 ,  234 ,  229 ,  237 ,  238 ,  225 ,  232 ,  229 ,  224 , 2 788 
5,2015,35-40 ,  304 ,  268 ,  302 ,  277 ,  279 ,  289 ,  312 ,  308 ,  296 ,  327 ,  305 ,  346 , 3 613 
6,2015,40-45 ,  576 ,  515 ,  561 ,  527 ,  510 ,  487 ,  527 ,  489 ,  478 ,  493 ,  448 ,  472 , 6 083 
7,2015,45-50 , 1 269 , 1 181 , 1 279 , 1 077 , 1 114 , 1 115 , 1 127 , 1 069 ,  986 , 1 110 ,  985 , 1 097 , 13 409 
8,2015,50-55 , 2 116 , 2 038 , 2 171 , 2 028 , 2 021 , 1 971 , 2 071 , 2 001 , 1 938 , 2 010 , 1 905 , 1 943 , 24 213 
9,2015,55-60 , 3 010 , 2 921 , 3 115 , 2 954 , 2 979 , 2 729 , 2 985 , 2 806 , 2 710 , 2 994 , 2 810 , 2 927 , 34 940 
10,2015,60-65 , 4 284 , 4 319 , 4 314 , 3 910 , 3 943 , 3 891 , 4 036 , 3 896 , 3 622 , 4 007 , 3 688 , 3 848 , 47 758 
11,2015,65-70 , 4 857 , 4 980 , 5 107 , 4 724 , 4 431 , 4 516 , 4 673 , 4 600 , 4 366 , 4 841 , 4 592 , 4 969 , 56 656 
12,2015,70-75 , 8 427 , 8 335 , 8 588 , 7 404 , 7 278 , 6 764 , 7 382 , 6 782 , 6 505 , 6 804 , 6 739 , 6 825 , 87 833 
13,2015,75-80 , 12 946 , 13 001 , 13 303 , 11 607 , 11 429 , 10 642 , 11 534 , 10 967 , 10 328 , 11 404 , 11 181 , 11 623 , 139 965 
14,2015,80-85 , 14 633 , 15 205 , 15 422 , 12 799 , 12 079 , 11 578 , 12 775 , 12 072 , 11 573 , 12 641 , 12 282 , 12 944 , 156 003 
15,2015,85-90 , 16 850 , 18 186 , 17 807 , 14 817 , 13 709 , 12 723 , 14 046 , 13 396 , 12 527 , 14 024 , 13 475 , 14 446 , 176 006 
16,2015,90-95 , 12 494 , 13 800 , 13 442 , 10 512 , 9 855 , 9 003 , 10 045 , 9 288 , 8 761 , 10 016 , 9 666 , 10 211 , 127 093 
17,2015,95 u. mehr , 3 923 , 4 282 , 4 358 , 3 272 , 3 016 , 2 860 , 3 261 , 3 145 , 2 897 , 3 265 , 3 194 , 3 336 , 40 809 
18,2014,Insgesamt , 75 520 , 69 513 , 77 336 , 71 941 , 70 163 , 67 511 , 71 795 , 68 610 , 68 526 , 72 597 , 73 722 , 81 122 , 868 356 
19,2014,0-15 ,  272 ,  277 ,  275 ,  258 ,  279 ,  268 ,  260 ,  257 ,  286 ,  283 ,  274 ,  266 , 3 255 
20,2014,15-30 ,  348 ,  312 ,  376 ,  371 ,  366 ,  374 ,  392 ,  351 ,  361 ,  338 ,  355 ,  367 , 4 311 
21,2014,30-35 ,  192 ,  194 ,  192 ,  236 ,  225 ,  215 ,  223 ,  199 ,  202 ,  235 ,  208 ,  225 , 2 546 
22,2014,35-40 ,  263 ,  273 ,  312 ,  285 ,  300 ,  269 ,  299 ,  296 ,  268 ,  274 ,  259 ,  319 , 3 417 
23,2014,40-45 ,  533 ,  536 ,  569 ,  500 ,  547 ,  515 ,  511 ,  474 ,  529 ,  493 ,  516 ,  508 , 6 231 
24,2014,45-50 , 1 238 ,  998 , 1 209 , 1 049 , 1 093 , 1 155 , 1 191 , 1 126 , 1 109 , 1 135 , 1 135 , 1 215 , 13 653 
25,2014,50-55 , 2 143 , 1 855 , 2 059 , 1 940 , 1 953 , 1 936 , 2 069 , 1 981 , 1 921 , 1 992 , 2 040 , 2 103 , 23 992 
26,2014,55-60 , 2 971 , 2 567 , 2 844 , 2 682 , 2 714 , 2 650 , 2 812 , 2 692 , 2 703 , 2 801 , 2 898 , 2 962 , 33 296 
27,2014,60-65 , 3 888 , 3 618 , 4 085 , 3 774 , 3 702 , 3 654 , 3 824 , 3 643 , 3 675 , 3 895 , 3 853 , 4 248 , 45 859 
28,2014,65-70 , 4 488 , 4 179 , 4 620 , 4 240 , 4 155 , 3 976 , 4 339 , 4 191 , 4 122 , 4 366 , 4 403 , 4 804 , 51 883 
29,2014,70-75 , 8 014 , 7 374 , 7 978 , 7 506 , 7 685 , 7 166 , 7 544 , 7 288 , 7 263 , 7 497 , 7 548 , 7 940 , 90 803 
30,2014,75-80 , 11 299 , 10 485 , 11 721 , 10 772 , 10 554 , 10 175 , 10 823 , 10 509 , 10 315 , 10 988 , 11 093 , 12 270 , 131 004 
31,2014,80-85 , 12 514 , 11 816 , 13 005 , 12 139 , 11 583 , 11 223 , 11 985 , 11 280 , 11 161 , 12 184 , 12 219 , 13 576 , 144 685 
