age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0-15 ,0.0003222315249271353,0.00029336759185693445,0.0002990320709625897,0.00029416726635442914,0.0003045123699303324,0.00033163754512796655,0.0003123458022074797,0.0003149758964542676,0.0003092744995130188,0.00028649855766018235
15-30 ,0.00037607358079326655,0.0003491654020901592,0.00033494297238418025,0.00031977620561276225,0.0003321666603693253,0.0003133239744564067,0.00029699553102139763,0.00029913649786336667,0.00028215890878365517,0.000273492746821762
30-35 ,0.0005451253192526014,0.0005090154996677549,0.0005349566891032925,0.0005199671946855922,0.0005549594198365049,0.0005303685972729836,0.000533161547752448,0.0005158689868837816,0.0005149543928247995,0.0005109210855854719
35-40 ,0.0007449488641933556,0.0006954184752007502,0.0007152026132974934,0.000697850708656979,0.0007191780429947246,0.0007333369601234428,0.0007373468953804588,0.0007498391455159404,0.000761976158491041,0.0007956613367444521
40-45 ,0.0012739699865301878,0.001186392068511852,0.0011001790032105245,0.0010124921561715935,0.0009928512020366915,0.0009609157205688374,0.0008819476038646201,0.0009283517701757831,0.0009200198866488103,0.0009902764842703556
45-50 ,0.0024655518788132044,0.0023858002222938465,0.0023502575975206477,0.0022185131452753595,0.002188581582789741,0.002100346032585253,0.0019504418969922873,0.0018510132644932685,0.0017164676450080838,0.0016557655541385797
50-55 ,0.003848838363935942,0.0038212655274565683,0.003941325455636,0.003898525406976227,0.003951981942284138,0.0038736348893265112,0.003797652441029401,0.00379139733217274,0.003625064557973187,0.0035505869659798873
55-60 ,0.005311307180883782,0.00525287421476147,0.005462935529082358,0.005410357700511856,0.005702814565043893,0.0058181923577886934,0.005820953765589729,0.006100645164313619,0.006018131924588501,0.00623205102482151
60-65 ,0.010066976079805055,0.010200103112715086,0.010491314684837385,0.010365144238783233,0.010748419895289667,0.010604246998794056,0.010636955485698485,0.011025808940680464,0.01084679352714506,0.011191770285345301
65-70 ,0.013183399812301532,0.012312993122750164,0.012322340655465435,0.011726700942907401,0.012751004597921424,0.013587258723491273,0.013991239806627372,0.014600569035275072,0.014510239006700773,0.014836499224743173
70-75 ,0.023159264655423013,0.022721853451053684,0.022198004709522563,0.02052347832081454,0.019767703100275917,0.017531888907408366,0.01685907595254822,0.016774644019403682,0.01636787921661456,0.017299957875518107
75-80 ,0.027294456487102575,0.027883703587770096,0.029514145631178403,0.029609789918174374,0.031500535839947615,0.031007769310174335,0.031054173453791523,0.030530888342114947,0.028590070795674088,0.027073366502988788
80-85 ,0.14240037454732796,0.14246482796028967,0.14113483215032094,0.1278468082699924,0.13241060758324733,0.12618910707185194,0.128758718743983,0.13148539283742908,0.12813052097624497,0.13133943061567765
85-90 ,0.14912887662125218,0.1493088784967588,0.15386295293413665,0.14394727959381676,0.1493885463631919,0.13851622008317532,0.13545745529389616,0.12953567509070002,0.11929395767411174,0.12380659871611903
90-95 ,0.08304534053346671,0.09590022812728449,0.10649157607964777,0.10371421552947498,0.10787267776630996,0.09862177550454147,0.09956602669020544,0.09820847357006901,0.09269246298634246,0.09521145225744083
95 u. mehr ,0.03931287797276741,0.03581570365721189,0.03282237302676772,0.028838824205085364,0.034159080921589556,0.03547161655141606,0.03902514544312857,0.039895319712915434,0.03759411482387964,0.03915683491476666
